졸음쉼터명,도로노선명,위도,경도
몽탄,서해안선,34.94576778,126.504596
벌교,남해선(영암순천),34.823812,127.381603
강진,남해선(영암순천),34.68656192,126.7740237
강진,남해선(영암순천),34.694235,126.755097
대강,광주광역시대구선,35.38527305,127.2343431
봉산,경부선,36.15643219,128.02568
봉산,경부선,36.15651708,128.0264901
대신,경부선,36.15251095,128.1912392
대신,경부선,36.15281944,128.1907565
선기,경부선,36.13630671,128.3161787
선기,경부선,36.13627142,128.3165002
석적,경부선,36.05163274,128.4080556
지천,경부선,35.92212137,128.4844738
검단,경부선,35.91491799,128.6134722
검단,경부선,35.91573946,128.6144513
북안,경부선,35.924622,128.9980117
북안,경부선,35.9246295,128.999844
칠곡,대구외곽순환선,35.90491377,128.4794864
칠곡,대구외곽순환선,35.910297,128.504056
봉무,대구외곽순환선,35.93259366,128.6510886
봉무,대구외곽순환선,35.93148217,128.6525431
안평,중앙선,36.37976405,128.5771112
안평,중앙선,36.37903059,128.5774794
명곡,중앙선,36.12565427,128.5410969
명곡,중앙선,36.12560806,128.5417815
읍내,중앙선,35.94842006,128.5476662
화산,대구포항선,36.01706571,128.8854996
남상,광주광역시대구선,35.61123398,127.881546
남상,광주광역시대구선,35.636051,127.906245
쌍림,광주광역시대구선,35.7006443,128.2338851
고령,광주광역시대구선,35.72240209,128.2973482
보문,중앙선,36.68978886,128.554036
풍산,중앙선,36.60315372,128.5841601
죽령,중앙선,36.91350622,128.3977005
죽령,중앙선,36.91372023,128.3969014
아포,중부내륙선,36.19807703,128.2591005
선산,중부내륙선,36.21309917,128.2621289
오봉,중부내륙선,36.09261436,128.2616627
개진,중부내륙선,35.7041488,128.417746
삼춘,청주영덕선,36.42102683,128.576998
하화,청주영덕선,36.41882715,128.699326
묵계,청주영덕선,36.43786162,128.9287923
지품,청주영덕선,36.4809483,129.1747296
수암,청주영덕선,36.46159596,129.2107704
일광,부산외곽순환선,35.29233912,129.2061941
일광,부산외곽순환선,35.29233912,129.2061941
김해,남해선,35.22085404,128.8702906
김해,남해선,35.22085404,128.8702906
북창원,남해선,35.28314827,128.6172025
진례,남해선,35.24932395,128.7589787
진례,남해선,35.24528591,128.7603006
창원,남해1지선,35.26331546,128.6120097
창원,남해1지선,35.26331546,128.6120097
곤양,남해선,35.05317013,127.9446964
곤양,남해선,35.05317013,127.9446964
지수,남해선,35.20659712,128.2537064
지수,남해선,35.20799567,128.2582372
서상,통영대전선,35.63527857,127.7088355
서상,통영대전선,35.63350327,127.7139066
수동,통영대전선,35.51724618,127.7962334
수동,통영대전선,35.51724618,127.7962334
금서,통영대전선,35.44032162,127.8532348
금서,통영대전선,35.43837913,127.8547834
진주,통영대전선,35.1974427,128.0291887
진주,통영대전선,35.19697858,128.0295319
울산,울산선,35.55044188,129.1675288
울산,울산선,35.55007712,129.1676029
현풍,중부내륙선,35.66671716,128.435925
창녕,중부내륙선,35.53087935,128.4885717
창녕,중부내륙선,35.54493533,128.4757461
금곡,통영대전선,35.09473045,128.1642909
금곡,통영대전선,35.09495156,128.1644658
고성,통영대전선,34.98175411,128.3735157
고성,통영대전선,34.98175411,128.3735157
내남,경부선,35.75225939,129.194721
언양,경부선,35.59837007,129.140183
삼남,경부선,35.545332,129.118872
양산,경부선,35.34312987,129.0428034
양산,경부선,35.34235591,129.0421478
